"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-08-16",,,"79","H,,S","88",",,S","76",",,S"
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-08-18",,,"81","H,,S","90",",,S",,
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-08-19",,,"83","H,,S","88",",,S","77",",,S"
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-08-20",,,"85","H,,S","91",",,S",,
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-08-21",,,"80","H,,S","83",",,S","77",",,S"
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-08-22",,,"86","H,,S","96",",,S","76",",,S"
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-08-23",,,"86","H,,S",,,"79",",,S"
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-08-24",,,"86","H,,S","97",",,S","78",",,S"
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-08-25",,,"86","H,,S","97",",,S","78",",,S"
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-08-26",,,"81","H,,S","89",",,S",,
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-08-27",,,"80","H,,S","84",",,S","78",",,S"
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-08-28",,,"87","H,,S","95",",,S","77",",,S"
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-08-29",,,"86","H,,S","95",",,S","79",",,S"
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-08-30",,,"86","H,,S","94",",,S","78",",,S"
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-08-31",,,"88","H,,S","96",",,S","78",",,S"
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-09-01",,,"88","H,,S","96",",,S",,
